step,gate_operation,comparison_type,max_diff,total_diff,mean_diff,n_qubits,a,b,c,timestamp
20,"CH(control=1, target=2)",Orig_vs_DeepQ,0.0057211848228238635,0.028163891128119848,0.003520486391014981,3,20,0,0,2026-02-28T06:53:16.003815
20,"CH(control=1, target=2)",CDF_vs_Orig,0.0026458466426589645,0.008464742031553727,0.001058092753944216,3,20,0,0,2026-02-28T06:53:16.003815
21,"CX(control=1, target=2)",CDF_vs_DeepQ,0.005369897039999412,0.024792762249103758,0.0030990952811379697,3,20,0,0,2026-02-28T06:53:16.003815
21,"CX(control=1, target=2)",Orig_vs_DeepQ,0.0057211848228238635,0.028163891128119848,0.003520486391014981,3,20,0,0,2026-02-28T06:53:16.003815
21,"CX(control=1, target=2)",CDF_vs_Orig,0.0026458466426589645,0.008464742031553727,0.001058092753944216,3,20,0,0,2026-02-28T06:53:16.003815
22,"CH(control=2, target=0)",CDF_vs_DeepQ,0.004872040962738588,0.02232020710161209,0.002790025887701511,3,20,0,0,2026-02-28T06:53:16.003815
22,"CH(control=2, target=0)",Orig_vs_DeepQ,0.008460948026439477,0.026373082034277216,0.003296635254284652,3,20,0,0,2026-02-28T06:53:16.003815
22,"CH(control=2, target=0)",CDF_vs_Orig,0.00512634076733822,0.013458692160318916,0.0016823365200398645,3,20,0,0,2026-02-28T06:53:16.003815
23,"CT(control=1, target=0)",CDF_vs_DeepQ,0.004872040962738588,0.022320227227560885,0.0027900284034451106,3,20,0,0,2026-02-28T06:53:16.003815
23,"CT(control=1, target=0)",Orig_vs_DeepQ,0.008460948026439477,0.026373059064057056,0.003296632383007132,3,20,0,0,2026-02-28T06:53:16.003815
23,"CT(control=1, target=0)",CDF_vs_Orig,0.00512634076733822,0.01345872801600906,0.0016823410020011325,3,20,0,0,2026-02-28T06:53:16.003815
24,"CT(control=0, target=2)",CDF_vs_DeepQ,0.004872040962738588,0.022320237150624363,0.0027900296438280454,3,20,0,0,2026-02-28T06:53:16.003815
24,"CT(control=0, target=2)",Orig_vs_DeepQ,0.008460948026439477,0.02637307344372875,0.0032966341804660936,3,20,0,0,2026-02-28T06:53:16.003815
24,"CT(control=0, target=2)",CDF_vs_Orig,0.00512634076733822,0.013458732593442643,0.0016823415741803304,3,20,0,0,2026-02-28T06:53:16.003815
25,"CX(control=2, target=0)",CDF_vs_DeepQ,0.004872040962738588,0.022320237150624363,0.0027900296438280454,3,20,0,0,2026-02-28T06:53:16.003815
25,"CX(control=2, target=0)",Orig_vs_DeepQ,0.008460948026439477,0.02637307344372875,0.0032966341804660936,3,20,0,0,2026-02-28T06:53:16.003815
25,"CX(control=2, target=0)",CDF_vs_Orig,0.00512634076733822,0.013458732593442643,0.0016823415741803304,3,20,0,0,2026-02-28T06:53:16.003815
26,"CY(control=2, target=0)",CDF_vs_DeepQ,0.004872040962738588,0.022320240227540488,0.002790030028442561,3,20,0,0,2026-02-28T06:53:16.003815
26,"CY(control=2, target=0)",Orig_vs_DeepQ,0.008460960579887326,0.026373084514506935,0.003296635564313367,3,20,0,0,2026-02-28T06:53:16.003815
26,"CY(control=2, target=0)",CDF_vs_Orig,0.005126355034923272,0.01345874683817872,0.00168234335477234,3,20,0,0,2026-02-28T06:53:16.003815
27,"CZ(control=0, target=1)",CDF_vs_DeepQ,0.004872040962738588,0.02232022177790705,0.002790027722238381,3,20,0,0,2026-02-28T06:53:16.003815
27,"CZ(control=0, target=1)",Orig_vs_DeepQ,0.008460960579887326,0.026373066673752815,0.003296633334219102,3,20,0,0,2026-02-28T06:53:16.003815
27,"CZ(control=0, target=1)",CDF_vs_Orig,0.005126355034923272,0.01345874683817872,0.00168234335477234,3,20,0,0,2026-02-28T06:53:16.003815
28,"CS(control=2, target=1)",CDF_vs_DeepQ,0.004872040962738588,0.022320225386489482,0.0027900281733111852,3,20,0,0,2026-02-28T06:53:16.003815
28,"CS(control=2, target=1)",Orig_vs_DeepQ,0.008460948026439477,0.026373060114979936,0.003296632514372492,3,20,0,0,2026-02-28T06:53:16.003815
28,"CS(control=2, target=1)",CDF_vs_Orig,0.00512634076733822,0.013458732570593667,0.0016823415713242084,3,20,0,0,2026-02-28T06:53:16.003815
29,"CY(control=1, target=2)",CDF_vs_DeepQ,0.004872040962738588,0.022320225069472188,0.0027900281336840234,3,20,0,0,2026-02-28T06:53:16.003815
29,"CY(control=1, target=2)",Orig_vs_DeepQ,0.008460960579887326,0.0263730700920077,0.0032966337615009623,3,20,0,0,2026-02-28T06:53:16.003815
29,"CY(control=1, target=2)",CDF_vs_Orig,0.005126355034923272,0.01345874683817872,0.00168234335477234,3,20,0,0,2026-02-28T06:53:16.003815
30,"CX(control=1, target=2)",CDF_vs_DeepQ,0.004872040962738588,0.022320225069472188,0.0027900281336840234,3,20,0,0,2026-02-28T06:53:16.003815
30,"CX(control=1, target=2)",Orig_vs_DeepQ,0.008460960579887326,0.0263730700920077,0.0032966337615009623,3,20,0,0,2026-02-28T06:53:16.003815
30,"CX(control=1, target=2)",CDF_vs_Orig,0.005126355034923272,0.01345874683817872,0.00168234335477234,3,20,0,0,2026-02-28T06:53:16.003815
31,"CX(control=0, target=2)",CDF_vs_DeepQ,0.004872040962738588,0.022320225069472188,0.0027900281336840234,3,20,0,0,2026-02-28T06:53:16.003815
31,"CX(control=0, target=2)",Orig_vs_DeepQ,0.008460960579887326,0.026373070092007705,0.003296633761500963,3,20,0,0,2026-02-28T06:53:16.003815
31,"CX(control=0, target=2)",CDF_vs_Orig,0.005126355034923272,0.01345874683817872,0.00168234335477234,3,20,0,0,2026-02-28T06:53:16.003815
32,"CY(control=1, target=2)",CDF_vs_DeepQ,0.004872040962738588,0.022320236613760033,0.002790029576720004,3,20,0,0,2026-02-28T06:53:16.003815
32,"CY(control=1, target=2)",Orig_vs_DeepQ,0.008460960579887326,0.026373095003435883,0.0032966368754294853,3,20,0,0,2026-02-28T06:53:16.003815
32,"CY(control=1, target=2)",CDF_vs_Orig,0.005126352200059513,0.013458744003314961,0.0016823430004143701,3,20,0,0,2026-02-28T06:53:16.003815
33,"CY(control=0, target=1)",CDF_vs_DeepQ,0.0048720267297646174,0.022320325639098727,0.002790040704887341,3,20,0,0,2026-02-28T06:53:16.003815
33,"CY(control=0, target=1)",Orig_vs_DeepQ,0.008460960579887326,0.026373221860799906,0.0032966527325999882,3,20,0,0,2026-02-28T06:53:16.003815
33,"CY(control=0, target=1)",CDF_vs_Orig,0.005126352200059513,0.013458676721707391,0.0016823345902134239,3,20,0,0,2026-02-28T06:53:16.003815
34,"CS(control=2, target=1)",CDF_vs_DeepQ,0.0048720267297646174,0.02232028988275877,0.002790036235344846,3,20,0,0,2026-02-28T06:53:16.003815
34,"CS(control=2, target=1)",Orig_vs_DeepQ,0.008460960579887326,0.02637319793286143,0.003296649741607679,3,20,0,0,2026-02-28T06:53:16.003815
34,"CS(control=2, target=1)",CDF_vs_Orig,0.005126352200059513,0.013458586970302588,0.0016823233712878235,3,20,0,0,2026-02-28T06:53:16.003815
35,"CH(control=0, target=2)",CDF_vs_DeepQ,0.006062749602579322,0.022418252320054028,0.0028022815400067535,3,20,0,0,2026-02-28T06:53:16.003815
35,"CH(control=0, target=2)",Orig_vs_DeepQ,0.008460960579887326,0.023744791765277294,0.0029680989706596618,3,20,0,0,2026-02-28T06:53:16.003815
35,"CH(control=0, target=2)",CDF_vs_Orig,0.005126352200059513,0.015677174400353423,0.001959646800044178,3,20,0,0,2026-02-28T06:53:16.003815
36,"CY(control=2, target=0)",CDF_vs_DeepQ,0.006062749602579322,0.022418265239354397,0.0028022831549192996,3,20,0,0,2026-02-28T06:53:16.003815
36,"CY(control=2, target=0)",Orig_vs_DeepQ,0.008460960579887326,0.023744777709409023,0.002968097213676128,3,20,0,0,2026-02-28T06:53:16.003815
36,"CY(control=2, target=0)",CDF_vs_Orig,0.005126352200059513,0.015677196924417894,0.0019596496155522367,3,20,0,0,2026-02-28T06:53:16.003815
37,"CT(control=1, target=0)",CDF_vs_DeepQ,0.006062749602579322,0.02241825142853446,0.0028022814285668077,3,20,0,0,2026-02-28T06:53:16.003815
37,"CT(control=1, target=0)",Orig_vs_DeepQ,0.008460960579887326,0.02374477931383661,0.0029680974142295763,3,20,0,0,2026-02-28T06:53:16.003815
37,"CT(control=1, target=0)",CDF_vs_Orig,0.005126352200059513,0.015677191084661493,0.0019596488855826866,3,20,0,0,2026-02-28T06:53:16.003815
38,"CX(control=2, target=1)",CDF_vs_DeepQ,0.006062749602579322,0.02241825142853446,0.0028022814285668077,3,20,0,0,2026-02-28T06:53:16.003815
38,"CX(control=2, target=1)",Orig_vs_DeepQ,0.008460960579887326,0.02374477931383661,0.0029680974142295763,3,20,0,0,2026-02-28T06:53:16.003815
38,"CX(control=2, target=1)",CDF_vs_Orig,0.005126352200059513,0.015677191084661493,0.0019596488855826866,3,20,0,0,2026-02-28T06:53:16.003815
39,"CZ(control=2, target=1)",CDF_vs_DeepQ,0.006062739204883135,0.022418234622410247,0.002802279327801281,3,20,0,0,2026-02-28T06:53:16.003815
39,"CZ(control=2, target=1)",Orig_vs_DeepQ,0.008460960579887326,0.023744770161566627,0.0029680962701958283,3,20,0,0,2026-02-28T06:53:16.003815
39,"CZ(control=2, target=1)",CDF_vs_Orig,0.005126352200059513,0.015677178431904925,0.0019596473039881156,3,20,0,0,2026-02-28T06:53:16.003815
